Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CORO1C	ENST00000261401.3	coronin, actin binding protein, 1C 	1970	2	2	0	0	0	0	0	0	2	hsa-miR-206	-1.08	-1.09	0.96	2005, 2007, 2009, 2011
SMIM14	ENST00000295958.5	small integral membrane protein 14 	601	2	2	0	0	3	0	1	2	3	hsa-miR-206	-1.03	-1.38	0.98	2007, 2009, 2011
ARPC3	ENST00000228825.7	actin related protein 2/3 complex, subunit 3, 21kDa 	323	1	1	0	0	2	1	1	0	0	hsa-miR-1-3p	-0.99	-1.30	< 0.1	
PTPLAD1	ENST00000261875.5	protein tyrosine phosphatase-like A domain containing 1 	11697	2	1	1	0	1	0	1	0	1	hsa-miR-206	-0.97	-1.11	0.95	2003, 2007, 2009, 2011
ARCN1	ENST00000534182.2	archain 1 	1139	1	1	0	0	1	0	1	0	0	hsa-miR-1-3p	-0.91	-0.91	0.95	2005, 2007, 2009, 2011
TAGLN2	ENST00000368096.1	transgelin 2 	2192	2	0	2	0	1	0	0	1	1	hsa-miR-1-3p	-0.85	-0.85	0.89	2005, 2007, 2009, 2011
GJA1	ENST00000282561.3	gap junction protein, alpha 1, 43kDa 	1732	2	2	0	0	0	0	0	0	1	hsa-miR-206	-0.84	-0.84	0.93	2003, 2005, 2007, 2009, 2011
ERMP1	ENST00000381506.3	endoplasmic reticulum metallopeptidase 1 	53	2	0	2	0	1	1	0	0	0	hsa-miR-1-3p	-0.81	-0.81	ORF	
SERP1	ENST00000239944.2	stress-associated endoplasmic reticulum protein 1 	3242	3	0	0	3	0	0	0	0	2	hsa-miR-1-3p	-0.77	-0.80	0.97	2005, 2007, 2009, 2011
TMSB4X	ENST00000451311.2	thymosin beta 4, X-linked 	5	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.74	-0.74	0.77	2009, 2011
